Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,21,S,0,21,0,06484001,0,0,3720922,0,993,1578,73,06622,0,454909,0,88,02698,97,22194,1,532493,404,941853992233,404,941853991341,0,000850008098092499,77,4773182150467,77,4773182148996,0,000150979745065193,89,99989,89,99989,7,514158,0,00001427119
0,22,S,0,22,0,068416,0,0,3695576,0,992,8105,73,01404,0,5030075,0,88,00922,97,22194,1,535454,405,07954072475,405,07954072385,0,000853815546164124,81,5281135317519,81,5281135315958,0,000159517900335992,89,99989,89,99989,8,329439,0,00001582367
0,23,S,0,23,0,07199324,0,0,3671462,0,992,4634,72,96187,0,5533346,0,87,99146,97,22194,1,538414,405,216361203075,405,216361202168,0,00085746131639065,85,5802770532097,85,5802770530446,0,000168092513308241,89,99989,89,99989,9,185242,0,00001746173
0,24,S,0,24,0,07557171,0,0,3648484,0,992,1163,72,90972,0,6058767,0,87,97369,97,22194,1,541375,405,352307479925,405,352307479011,0,000860959733313951,89,6338000374056,89,6338000372314,0,000176702110448941,89,99989,89,99989,10,08158,0,0000191857
0,25,S,0,25,0,07915141,0,0,3626556,0,991,7694,72,85759,0,6606212,0,87,95592,97,22194,1,544335,405,487466975446,405,487466974525,0,00086432374207557,93,6886746165264,93,6886746163431,0,000185345347676505,89,99989,89,99989,11,01847,0,00002099594
0,26,S,0,26,0,08273234,0,0,3605601,0,991,4226,72,80548,0,7175561,0,87,93816,97,22194,1,547296,405,62175226949,405,621752268562,0,000867563968605511,97,7448920485578,97,7448920483652,0,000194020987168644,89,99989,89,99989,11,99591,0,00002289277
0,27,S,0,27,0,0863145,0,0,3585549,0,991,0759,72,75339,0,7766705,0,87,9204,97,22194,1,550256,405,755242834919,405,755242833985,0,000870690568928171,101,802444386214,101,802444386012,0,000202727892663311,89,99989,89,99989,13,01394,0,00002487651
0,28,S,0,28,0,08989787,0,0,3566336,0,990,7294,72,70131,0,8379542,0,87,90264,97,22194,1,553217,405,887962513591,405,887962512651,0,00087371201650271,105,861323920626,105,861323920415,0,000211465012633048,89,99989,89,99989,14,07255,0,00002694748
0,29,S,0,29,0,09348244,0,0,3547905,0,990,3829,72,64925,0,9013974,0,87,88488,97,22194,1,556177,406,01982388536,406,019823884414,0,000876635951084795,109,921522068728,109,921522068507,0,000220231371947953,89,99989,89,99989,15,17177,0,00002910596
0,3,S,0,3,0,09706822,0,0,3530202,0,990,0366,72,59721,0,9669912,0,87,86711,97,22194,1,559138,406,150866686655,406,150866685703,0,000879468996827651,113,983030644812,113,983030644582,0,000229026061719653,89,99989,89,99989,16,3116,0,00003135225
0,31,S,0,31,0,1006552,0,0,3513181,0,989,6904,72,5452,1,034727,0,87,84935,97,22194,1,562098,406,281051181046,406,281051180088,0,000882217535352579,118,045841065812,118,045841065572,0,000237848236875988,89,99989,89,99989,17,49206,0,00003368662
